Rank,City,Country,2023,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1293,Jerteh,Malaysia,15.4,13.1,13.8,14.6,28.4,17.3,18.2,18.8,13.4,16.6,14,7.2,6.4
1304,Alor Setar,Malaysia,15.1,15.7,16,20.7,26.5,13.7,17.1,11.9,10.9,16.3,15.5,7.6,8.8
1349,Tanjong Malim,Malaysia,14.1,9.7,8.5,11.7,19.2,12.5,17.9,15,15.3,21,22.3,8,7.7
1363,Kuala Rompin,Malaysia,13.8,7.5,6.9,9.3,21.2,13.3,18.1,12.8,13.7,19.1,30.8,7.2,5.5
1364,Kangar,Malaysia,13.8,14.5,15,20.2,26.1,9.4,14.7,9.9,10,15.7,11.8,7.8,9.4
1368,Tawau,Malaysia,13.7,11.3,11.7,14.9,14.1,9.4,11.6,13.3,14.5,17.3,21.6,12,12
1381,George Town,Malaysia,13.4, , , ,27.7,9.8,14.1,13.2,11.7,20,14,6.3,8.8
1392,Pengerang,Malaysia,13.2,6.8,7.3,8.7,18.3,10.6,11.5,13.4,19.4,19.1,26.4,10.2,6.3
1393,Tanjung Tokong,Malaysia,13.2,13.2,15.1,18.9,20.6,10.8,14,13.6,11.7,17.9,10.9,5.1,6.5
1414,Sri Aman,Malaysia,12.7,6.3,6.2,6.2,13,7.5,8.5,13.3,24.1,36.8,18.6,6,6
1443,Miri,Malaysia,12.1,7.6,7.5,9.9,15.1,12.7,14.3,15.8,17.2,18.7,13.8,6,6.4
1455,Mukah,Malaysia,11.9,6.2,6.3,11.4,20.2,11.4,12.3,15.4,15,18.1,13.9,6.9,5.5
1478,Langkawi,Malaysia,11.6,13,14,18.9,23.2,8.4,9.8,8.1,6.7,11.2,9.2,6.7,8.5
1479,Labuan,Malaysia,11.6,10.3,8.7,9.1,17.5,12.6,11.4,9.7,13.7,15.3,15.9,7.3,6.9
1499,Keningau,Malaysia,11.3,9.5,9,10.5,11.2,9.8,10.9,13.2,13.7,13.8,12.3,11,10.5
1520,Putatan,Malaysia,11.0,9.9,10.9,11.1,12.7,10.4,9.7,11,12.2,16.3,13,6.6,6.7
1555,Limbang,Malaysia,10.7,6.4,7.3,9.2,14,10.5,13.1,13.1,15.2,15,13,6.2,5.7
1556,Sibu,Malaysia,10.7,7.7,7.6,8.3,13.9,8.5,8.6,11.1,14.9,17.7,14.4,7.9,7.3
1606,Kapit,Malaysia,10.3,7.5,6.1,6.5,12.3,7.5,8.3,9.5,16.2,19.4,15.5,6.7,8.2
1607,Sarikei,Malaysia,10.3,5.8,4.8,8,13.6,8.6,8.6,11.3,15.4,19.7,14.4,6.9,6.1
1721,Sandakan,Malaysia,9.6,7.1,8.6,9.5,12.5,8.2,7.9,9.6,10.4,12,13,8.5,7.1
2133,Bongawan,Malaysia,6.7,4.6,5.5,7.4,10.7,6.8,7.3,7.1,8.3,6.2,6.7,3.3,5.6
